_id,isPb,wpm,acc,rawWpm,consistency,charStats,mode,mode2,quoteLength,restartCount,testDuration,afkDuration,incompleteTestSeconds,punctuation,numbers,language,funbox,difficulty,lazyMode,blindMode,bailedOut,tags,timestamp
6723a7a550538de2c28362f8,,63.85,94.16,68.87,73.95,140;4;0;0,words,25,-1,0,26.31,0,0,false,false,french,none,normal,false,false,false,,1730389925000
6723a78950538de2c28360d4,,74.39,99.34,74.39,77.31,150;0;0;0,words,25,-1,0,24.2,0,0,false,false,french,none,normal,false,false,false,,1730389897000
6723a76f50538de2c2835ef1,,74.12,100,74.12,74.18,149;0;0;0,words,25,-1,1,24.12,0,0.21,false,false,french,none,normal,false,false,false,,1730389871000
6723a70950538de2c28357ab,,66.69,96.35,73.68,78.15,124;3;0;0,words,25,-1,1,22.31,0,10.47,false,false,french,none,normal,false,false,false,,1730389769000
6723a6d650538de2c28353fd,,63.1,95.16,68.68,68.11,113;2;1;0,words,25,-1,2,21.49,0,19.45,false,false,french,none,normal,false,false,false,,1730389718000
6723a66450538de2c2834c14,,55.57,95.03,57.05,59.73,150;1;0;0,words,25,-1,2,32.39,0,19.56,false,false,french,none,normal,false,false,false,,1730389604000
6723a62950538de2c28347c4,,70.73,96.1,75.18,75.84,143;2;0;0,words,25,-1,1,24.26,0,5.34,false,false,french,none,normal,false,false,false,,1730389545000
6723a5f950538de2c283444a,,66.97,97.26,66.97,71.17,140;0;0;0,words,25,-1,1,25.09,0,1.56,false,false,french,none,normal,false,false,false,,1730389497000
6723938250538de2c281fde3,,62.66,97.32,62.66,69.43,143;0;0;0,words,25,-1,3,27.39,0,9.74,false,false,french,none,normal,false,false,false,,1730384770000
672380f750538de2c280cb36,,60.22,92.75,66.09,58.22,123;5;0;1,words,25,-1,1,24.51,1,7.1,false,false,french,none,normal,false,false,false,,1730380023000
672380d450538de2c280c933,,63.82,97.48,66.81,59.77,149;1;0;0,words,25,-1,17,28.02,0,100.32,false,false,french,none,normal,false,false,false,,1730379988000
67237ff250538de2c280bc69,,67.23,92.12,71.35,62.93,147;3;1;0,words,25,-1,12,26.24,0,37.12,false,false,french,none,normal,false,false,false,,1730379762000
67228c2550538de2c27742cb,,77.01,100,77.01,61,135;0;0;0,words,25,-1,2,21.04,0,19.98,false,false,french,none,normal,false,false,false,,1730317349000
67228bed50538de2c2773f95,,59.8,93.59,66.88,68.76,135;2;1;0,words,25,-1,2,27.09,0,9.59,false,false,french,none,normal,false,false,false,,1730317293000
67228bc350538de2c2773d32,,65.83,95.89,65.83,65.03,140;0;0;0,words,25,-1,8,25.52,0,25.41,false,false,french,none,normal,false,false,false,,1730317251000
67228b7e50538de2c2773940,,77.83,98.66,79.43,80.33,146;1;0;0,words,25,-1,26,22.51,0,120.89,false,false,french,none,normal,false,false,false,,1730317182000
67228aa650538de2c2772cd4,,82.93,100,82.93,78.02,158;0;0;0,words,25,-1,1,22.86,0,2.05,false,false,french,none,normal,false,false,false,,1730316966000
67228a8950538de2c2772b27,,73.15,100,73.15,73.19,136;0;0;0,words,25,-1,1,22.31,0,6.67,false,false,french,none,normal,false,false,false,,1730316937000
67228a6250538de2c277290a,,71.86,95.8,76.12,72.56,135;3;1;1,words,25,-1,0,22.54,0,0,false,false,french,none,normal,false,false,false,,1730316898000
67228a4a50538de2c27727c1,,59.57,97.37,59.57,60.29,148;0;0;0,words,25,-1,3,29.81,0,5.52,false,false,french,none,normal,false,false,false,,1730316874000
6722898250538de2c2771c2e,,64.83,95.77,68.76,64.2,132;1;1;1,words,25,-1,9,24.43,0,44.5,false,false,french,none,normal,false,false,false,,1730316674000
